"postcode","inwoners","oppervlakte_km2","geometry"
122,32380,9.27871583996086,"MULTIPOLYGON (((141394.9 470380.6, 141128.1 470612, 141044.5 471016.6, 140684.6 471501.7, 139743.3 474309.3, 140469.9 474891.3, 140879.3 474969.3, 141025.6 474659.7, 141226.1 474571.6, 141352 474769.4, 141447.5 474701.1, 141413.4 474037.9, 141754.8 473945, 141555.5 473523.1, 141846.4 473185.9, 141742.9 472988.8, 142140.9 472725.2, 142396.4 471950.8, 142836.4 471761.8, 143493.1 472005.3, 143921.7 471559.7, 143714 471226.9, 143296.3 471224, 142846.7 470891, 143117.7 470252.1, 143488 470345.2, 143154.3 470165.8, 143230.1 469987.5, 141394.9 470380.6)), ((142191.5 474859.9, 141963.8 475170.4, 141770.2 474983.2, 141595.1 475099.3, 141705.7 475362.8, 142297.6 475585.2, 142482.3 475471.8, 142191.5 474859.9)))"
123,9155,27.2609813977108,"MULTIPOLYGON (((131389.1 470720, 133578.3 469708.3, 136706.1 469792.3, 136900.8 470124.3, 137691.3 469608.2, 138091.1 468904.3, 138269.6 468984.5, 138138.6 468825.4, 138481 468062, 138450.1 467641, 137558.3 466741.1, 136859.2 466416.3, 137005.8 465887, 130742.2 466279.3, 131133.2 467506.8, 131070.9 467817.1, 129985.5 468260.4, 130102.9 468244.4, 130077.4 468488.7, 131035.5 468283.3, 131025.4 469110, 130817.5 469140.9, 130846.1 469572.2, 131085.7 469626.8, 130951.8 469654.9, 131076.8 469848, 131048.5 470755.7, 131389.1 470720)), ((131502 471203.1, 131408 470723.8, 131069.2 470801.9, 131502 471203.1)))"
124,9555,28.7954651796085,"MULTIPOLYGON (((136903.6 470262.9, 137016.9 470207.7, 136881.2 470196.2, 136706.1 469792.3, 133578.3 469708.3, 131406.4 470713.2, 131505.4 471207.4, 131327.3 471331.5, 131388.1 471480.4, 132476.5 471955.9, 132487 472130.3, 134336.4 472287, 134861.4 472720.3, 135297.5 473492.4, 134933.5 474313.4, 134614.8 474579.2, 134300.7 474754.2, 133335 474851.9, 133261.3 475683.9, 133608 476399.2, 132989.8 476741.6, 133835.5 476708.6, 134350.3 476865.7, 134562.1 477118.2, 135546.1 476965.5, 135698.1 476576.9, 136721.3 476042.9, 137110.4 474699.5, 137882 474666.3, 137901.9 474019.7, 138093.3 474026.2, 138120.5 473109.2, 138272.8 472816.2, 138125 470746.2, 138965.8 470627.7, 137285.6 470727.3, 137425.2 470409.8, 136967.5 470400.1, 136903.6 470262.9)))"
125,11395,11.810110747728,"MULTIPOLYGON (((144601.2 472573.3, 143773.8 470810.8, 143898.7 470803.4, 143610.2 469768.9, 143286.4 469856.1, 143154.3 470165.8, 143488 470345.2, 143117.7 470252.1, 142846.7 470891, 143296.3 471224, 143714 471226.9, 143918.3 471592.4, 143736.8 471611.1, 143493.1 472005.3, 142837 471761.7, 142396.4 471950.8, 142150.5 472712.5, 141742.9 472988.8, 141846.4 473185.9, 141555.5 473523.1, 141754.8 473945, 141414.1 474036.6, 141440.4 475005.4, 141770.2 474983.2, 141963.8 475170.4, 142191.5 474859.9, 142481.9 475470.7, 142851.7 475338.4, 143963.7 476111.8, 143991.6 475543.1, 145296.4 474053.1, 144601.2 472573.3)))"
126,11950,11.0945702399979,"MULTIPOLYGON (((150000.4 479461.3, 150226.3 479176.2, 150056.3 479279, 150096.5 479298.1, 150017.8 479367.7, 148763.7 478570.7, 149527.9 479001.7, 149249.7 478571.9, 148872.2 478372, 148745.5 478000.2, 148802.1 477659.6, 149489.9 476625.2, 146727.6 477109.7, 145227.4 474079.1, 143991.6 475543.1, 143963.7 476111.8, 142851.7 475338.4, 142436.3 475528.9, 142985.1 476620.9, 143425.9 476620, 143568.4 476823.2, 143742.7 476764.8, 143862.1 477012.1, 144424.2 477223, 144878.2 477035.6, 145397.8 477151.9, 145648.4 477390.8, 146051.4 477303.1, 146155 477649.6, 147077.2 478113.1, 147493.1 478670.5, 147748.6 478427.1, 148219.8 478851.7, 148596 478676.1, 148464.8 478755.9, 148934.4 478872.1, 149209.6 479351.1, 149552 479420.4, 149597 479692.4, 150000.4 479461.3)))"
127,41090,15.5232625134062,"MULTIPOLYGON (((143194.7 478958.6, 144249 479325.3, 144176.4 480377.8, 145133.2 480345.9, 145561.3 481027.5, 145153.4 480303.5, 145326.4 480225.6, 145047.6 479764, 145335.5 480057.4, 145396.2 480267.6, 145753.5 480128.4, 145494.8 480652.7, 145618.1 480950.5, 145834.9 480099.4, 146076.1 479882.1, 146615.7 479874.1, 146602.2 479752.7, 147283.2 479581, 148219.8 478851.7, 147748.6 478427.1, 147476.8 478657.6, 147099.7 478133.4, 146155 477649.6, 146200.7 477856.7, 146051.4 477303.1, 145644.9 477389.1, 145042.5 477044.8, 144706 477031.5, 144424.2 477223, 143862.1 477012.1, 143742.7 476764.8, 143568.4 476823.2, 143425.9 476620, 142985.1 476620.9, 142413.2 475509.9, 141176.4 476694.7, 141885.1 477008.6, 141861.5 477293, 141690.2 477365.8, 141804.5 477520.4, 141931.5 477436, 141911.9 477865.4, 141765.9 477811.9, 141430.2 478265.7, 141950.5 478583.2, 141888 478809.3, 142080.4 479167.9, 142698.8 479120.1, 142946.3 479338.5, 143194.7 478958.6)))"
130,40,9.56128566676493,"MULTIPOLYGON (((143153.7 492278.2, 142825.6 492076.4, 143770.6 492241.8, 143948.7 492046.6, 143831.5 492169, 142683.1 492020.1, 140194 490570.7, 144122.5 492866.5, 143153.7 492278.2)), ((139443 489576.1, 139652.7 489607, 140722.2 487869.3, 140378.2 487388.5, 140215.5 486431.1, 139803.5 486415.7, 139560.8 486569.5, 138674.7 486078.4, 138588.3 486233.4, 138154.1 485997.4, 137976 486266.5, 138140.4 485786.5, 137686.9 485469.5, 137563.6 486433.7, 136976.4 487500, 137011.3 487958.2, 137390.5 488358, 137300.7 488524.1, 137416.3 488367.4, 138246.3 488861.4, 138158.9 489032.7, 138265.3 488873.7, 139424.6 489696.8, 139443 489576.1)), ((138560 482788.8, 138776 483242.3, 139089.1 482575.5, 138910.3 482251.4, 138795.4 482385.9, 138475.5 482153.6, 138449.1 481800.5, 138179.8 482074.9, 138033.3 482024.8, 138145.5 482116.5, 137941.7 482412.2, 138238.4 482287.2, 138487.7 482657, 138060.7 483090.6, 138429.6 483259.2, 138560 482788.8)))"
131,51280,24.2155165613819,"MULTIPOLYGON (((141529.4 486579.9, 140290 485644.7, 140187.2 486154.5, 140324.8 487176.7, 140722.2 487869.3, 139652.7 489607, 139422.8 489594.3, 139660.4 490213.4, 136889.3 488574.8, 142667.5 492013.3, 143751.4 492119.8, 144006.3 491411.5, 143890.4 491265, 144412.4 490582.5, 145145.7 490212.1, 144910.6 489998.5, 145693.3 489525.8, 146541.7 488276.7, 145494.9 487685.4, 143790.9 487548.3, 144153.1 486559.1, 143387.4 486371.9, 143096.9 487049.6, 143318.7 487154, 143201.6 487453.9, 141461.2 486702.4, 141529.4 486579.9)))"
132,58135,17.3802135561902,"MULTIPOLYGON (((141954.1 484633.2, 141964.1 484499.5, 141710.5 484741.2, 141514.5 484562, 141903.6 484005.7, 142061.8 484078.5, 141247.6 483561.6, 141318.5 483725.2, 141161.9 483721.7, 141007.5 483451.1, 140644.4 483566.2, 140337.5 483288.6, 140156.8 483509.2, 140448.8 483715, 140238.5 484306.4, 140430 484258.8, 140298.7 485666.4, 141529.4 486579.9, 141553.4 486731.5, 142700.9 487308.4, 143200.8 487437.5, 143318.7 487154, 143096.9 487049.6, 143387.4 486371.9, 144151.6 486558.8, 143788.6 487556.7, 145407 487663.7, 146117.4 487928.3, 146541.7 488276.7, 148082.4 487469.5, 148102.4 487235.8, 148246.1 487325.7, 147735.2 486377.3, 146161.5 485140.6, 145968.4 485161.7, 145836 485395.8, 145567.5 485269.7, 145643.9 484995.3, 145274.7 484919.2, 143634.5 485235.8, 143542.5 485067.8, 142748 485065.1, 141954.1 484633.2)))"
133,56950,60.6042282373742,"MULTIPOLYGON (((149719.6 489405.5, 149958.7 488956.6, 150496.7 489108.8, 150116.4 488734.9, 148893.2 488058.7, 149424.3 487709.8, 148782.7 487396.2, 148343.2 487379.3, 148163.4 487163.9, 148246.1 487325.9, 148092.4 487243.6, 148086.2 487467, 146661.7 488152.4, 145693.3 489525.8, 145117.2 489941.7, 145282.1 489947, 144910.2 489997.6, 145145.1 490213.4, 144412.4 490582.5, 143889.6 491266.4, 144006.3 491411.5, 143751.4 492119.8, 143945.3 492044.8, 143936.6 492165.4, 143746 492364.8, 143893.8 492232.8, 144202.1 492547.4, 144493.9 493068.1, 144305.3 493011.2, 145922.3 493972.4, 151185.5 497666.7, 152399.3 495534.3, 154075 495007.4, 156438.8 495258.3, 156157.7 494186.1, 155902.7 494009.1, 155228.3 494103.6, 155360.2 493626, 152898.9 491889.4, 152586.7 491967.2, 152490.6 491728.9, 152204.9 491616.3, 152435 491444.1, 152003.5 491140.4, 151925.8 491245.6, 151741.3 490954.5, 151865.8 490690, 151714.4 490454.9, 151214.7 490219.5, 151355.2 489919.1, 151133.3 490176.6, 150965.5 490085.9, 151106.9 489844.8, 150956.4 490082.2, 149719.6 489405.5)))"
